Platnum;Platval;Actnum;Actval;Stypenum;Stypeval
38;Air-to-Surface Missile (ASM);24;Policing;809;AW1-2 FAN TRAINER
39;Surface-to-Surface Missile (SSM);25;Conventional Attack;811;HJT-16 KIRAN
40;Logistic;26;Medical Evacuation (MEDEVAC);812;MBB223 FLAMINGO
41;Air-to-Air Missile (AAM);27;Mine Countermeasures;813;SU-11 MAIDEN
42;Subsurface-to-Surface Missile;28;Search;814;SU-15C
43;Surface-to-Subsurface Missile;29;Refueling/Tanking;815;MIG-15 MIDGET
44;Cruise Missile;30;Interdiction;816;MIG-17
45;Ballistic Missile;31;Combat Air Patrol (CAP);817;MIG-21U MONGOL
46;Airborne Land Surveillance;32;Forward Air Controller (FAC);818;MIG-23C
47;Airborne Laser;33;Very Important Person (VIP) Flight;819;MIG-25C
48;Unmanned Aerial Vehicle (UAV);34;Noncombatant Operations;820;YAK-11 MOOSE
49;Active Electronic Decoy;35;Close Air Support (CAS);821;YAK-18 MAX
50;Infrared Decoy;36;Airborne Early Warning (AEW);822;YAK-28 MAESTRO
51;Chaff Decoy;37;Ground Attack Tactics (GAT);824;T-46A
1;Fighter;38;Airborne Command Post (ACP);825;EMB-312 TOUCAN
2;Fighter Bomber;39;Rescue Combat Air Patrol (RESCAP);826;T-45 GOSHAWK
3;Attack;40;Surface Combat Air Patrol (SUCAP);827;T-47
4;Bomber;42;Spotting;828;AS202
5;Reconnaissance;43;Strike Warfare;829;CT114 TUTOR
6;Tanker;44;Special;830;G91T (FIAT JET 1)
7;Tanker (Boom Only);45;Hijack;831;K8 (NAMC)
8;Tanker (Drogue Only);46;Jammer;832;L70 VINKA
9;Interceptor;47;Trooplift;833;STRIKEMASTER
10;Transport;48;XRay;834;T1 JAYHAWK
11;Airborne Command Post (ACP);49;Antiair Warfare (AAW);835;T4
13;Missile;50;Command and Control;836;CT-142 DASH 8
14;Electronic Warfare (EW);51;Counter-Air Warfare;837;B-55 BARON
15;Antisubmarine Warfare (ASW);52;Return to Base (RTB);838;F-33 BONANZA
16;Airborne Early Warning and Control (AEW);53;Mine Warfare;839;839 PILLAN-TAMIZ
17;Maritime Patrol Aircraft (MPA);54;Chaff Laying;840;CT-133 SILVERSTAR
18;Search and Rescue (SAR);55;Video Data Linking (Targeting);841;TU-22D BLINDER
19;Drone;56;Dipping;842;T10 HARRIER
20;Remotely Piloted Vehicle (RPV);58;Orbiting;843;TAV-8B HARRIER
21;Fixed Wing Gunship;59;Under Recall;844;L-39C ALBATROS
22;Civil, Airliner;60;Engaging;845;L-39MS ALBATROS
23;Civil, General;61;Engaging (Priority Kill);846;L-39Y ALBATROS
24;Lighter than Air (LTA);62;Investigating;847;L-39ZO ALBATROS
25;Glider;63;Cleared to Drop;848;SU-17E FITTER
26;Decoy;64;Intervening;849;SU-17G FITTER
27;Helicopter (HELO);65;Diverting;850;YAK-38B FORGER
28;Attack Helicopter;66;Air-to-ground;851;CT-155 HAWK
29;Helicopter Gunship;67;Air-to-air;852;CT-156 HARVARD
30;Antisubmarine Warfare Helicopter (ASW HELO);68;Precision Bombing;853;PZL-130T ORLIK
31;Mine Warfare Helicopter;69;Laser Designation;927;TRAINER GENERAL
32;Transport Helicopter;71;Shadowing;928;GLOBAL HAWK
33;Tactical Support;72;Covering;929;PREDATOR A
34;Patrol;73;Visual Identification;930;PREDATOR B
35;Miscellaneous Fixed Wing;74;High Energy Lasing;931;SHADOW 200
36;Missile Control Unit;75;Electronic Protection (EP);932;HUNTER
37;Surface-to-Air Missile (SAM);76;Special Operations;933;SILVER FOX
38;Air-to-Surface Missile (ASM);77;Nuclear, Biological, Chemical (NBC) Operations;934;DRAGON EYE
39;Surface-to-Surface Missile (SSM);78;Nuclear Operations;935;FIRE SCOUT
40;Logistic;79;Biological Operations;936;EAGLE
41;Air-to-Air Missile (AAM);80;Chemical Operations;937;CRECERELLE
42;Subsurface-to-Surface Missile;81;Aborting Mission;938;SHARC
43;Surface-to-Subsurface Missile;82;Standoff Operations;939;HERON
44;Cruise Missile;83;Combat Search and Rescue (CSAR);940;RANGER
45;Ballistic Missile;115;Air Activity 1;941;SPERWER
46;Airborne Land Surveillance;116;Air Activity 2;1020;TACTICAL UNMANNED AERIAL VEHICLE (TUAV) GENERAL
47;Airborne Laser;117;Air Activity 3;1021;UNMANNED AERIAL VEHICLE (UAV) GENERAL
48;Unmanned Aerial Vehicle (UAV);118;Air Activity 4;1022;UNMANNED COMBAT AIR VEHICLE (UCAV) GENERAL
49;Active Electronic Decoy;119;Air Activity 5;1024;C-1 COD
50;Infrared Decoy;120;Air Activity 6;1025;C-2 GREYHOUND
51;Chaff Decoy;121;Air Activity 7;1026;C-5 GALAXY
1;Fighter;122;Air Activity 8;1027;C-7 CARIBOU
2;Fighter Bomber;123;Air Activity 9;1028;C-9 NIGHTINGALE
3;Attack;124;Air Activity 10;1029;C-12 HURON
4;Bomber;125;Air Activity 11;1030;C-123 PROVIDER
5;Reconnaissance;126;Air Activity 12;1031;C-130 HERCULES
6;Tanker;1;Reconnaissance;1032;C-135 STRATOLIFTER
7;Tanker (Boom Only);2;Over the Horizon Targeting (OTHT);1033;C-140 JETSTAR
8;Tanker (Drogue Only);3;Training;1034;C-141 STARLIFTER
9;Interceptor;4;Logistics Support;1035;HC-130 HERCULES
10;Transport;5;Antisurface Warfare;1036;VC-6 KING AIR
11;Airborne Command Post (ACP);6;Electronic Warfare (EW);1037;VC-9 SKYTRAIN II
13;Missile;7;Surveillance;1038;VC-11 GULFSTREAM
14;Electronic Warfare (EW);8;Search and Rescue (SAR);1039;VC-137
15;Antisubmarine Warfare (ASW);9;Escorting;1040;B707
16;Airborne Early Warning and Control (AEW);10;Minelaying;1041;B720
17;Maritime Patrol Aircraft (MPA);11;Transiting;1042;B727
18;Search and Rescue (SAR);12;Special Weapons Attack;1043;B737
19;Drone;13;Intruding;1044;B747
20;Remotely Piloted Vehicle (RPV);14;Electronic Warfare Support (ES);1045;B757
21;Fixed Wing Gunship;15;Communications Relay;1046;B767
22;Civil, Airliner;16;Patrol (Ocean Surveillance);1047;L-100 HERCULES
23;Civil, General;17;Airlift (Transport);1048;L-1011 TRI STAR
24;Lighter than Air (LTA);18;Antisubmarine Warfare (ASW);1049;DC-8
25;Glider;20;Towing;1050;DC-9
26;Decoy;21;Air Assault;1051;DC-10
27;Helicopter (HELO);22;Interception;1052;C-119
28;Attack Helicopter;23;Electronic Attack (EA);1053;DC-130
29;Helicopter Gunship;24;Policing;1054;HC-97
30;Antisubmarine Warfare Helicopter (ASW HELO);25;Conventional Attack;1055;C-JM
31;Mine Warfare Helicopter;26;Medical Evacuation (MEDEVAC);1056;C-54
32;Transport Helicopter;27;Mine Countermeasures;1057;C-97
33;Tactical Support;28;Search;1058;C-118
34;Patrol;29;Refueling/Tanking;1060;C-121
35;Miscellaneous Fixed Wing;30;Interdiction;1061;C-124
36;Missile Control Unit;31;Combat Air Patrol (CAP);1062;C-131
37;Surface-to-Air Missile (SAM);32;Forward Air Controller (FAC);1063;C-133
38;Air-to-Surface Missile (ASM);33;Very Important Person (VIP) Flight;1064;VC-47
39;Surface-to-Surface Missile (SSM);34;Noncombatant Operations;1065;CV-54
40;Logistic;35;Close Air Support (CAS);1066;CV-140
41;Air-to-Air Missile (AAM);36;Airborne Early Warning (AEW);1067;ARAVA
42;Subsurface-to-Surface Missile;37;Ground Attack Tactics (GAT);1069;BN-2B ISLANDER
43;Surface-to-Subsurface Missile;38;Airborne Command Post (ACP);1070;SKYVAN
44;Cruise Missile;39;Rescue Combat Air Patrol (RESCAP);1071;TRIDENT
45;Ballistic Missile;40;Surface Combat Air Patrol (SUCAP);1072;A300 AIRBUS
46;Airborne Land Surveillance;42;Spotting;1073;A310 AIRBUS
47;Airborne Laser;43;Strike Warfare;1075;C-160 TRANSALL
48;Unmanned Aerial Vehicle (UAV);44;Special;1076;C.207 AZOR
49;Active Electronic Decoy;45;Hijack;1077;C-212 AVIOCAR
50;Infrared Decoy;46;Jammer;1078;F27 FRIENDSHIP
51;Chaff Decoy;47;Trooplift;1079;F28 FELLOWSHIP
1;Fighter;48;XRay;1080;G222 SAMA
2;Fighter Bomber;49;Antiair Warfare (AAW);1081;AW.660 ARGOSY
3;Attack;50;Command and Control;1082;BAC1-11
4;Bomber;51;Counter-Air Warfare;1083;DHC-5 BUFFALO
5;Reconnaissance;52;Return to Base (RTB);1084;DHC-7 DASH
6;Tanker;53;Mine Warfare;1085;AN-2 COLT
7;Tanker (Boom Only);54;Chaff Laying;1086;AN-10 CAT
8;Tanker (Drogue Only);55;Video Data Linking (Targeting);1087;AN-12 CUB
9;Interceptor;56;Dipping;1088;AN-14 CLOD
10;Transport;58;Orbiting;1089;AN-22 COCK
11;Airborne Command Post (ACP);59;Under Recall;1090;AN-24 COKE
13;Missile;60;Engaging;1091;AN-26 CURL
14;Electronic Warfare (EW);61;Engaging (Priority Kill);1092;AN-28 CASH
15;Antisubmarine Warfare (ASW);62;Investigating;1093;AN-30 CLANK
16;Airborne Early Warning and Control (AEW);63;Cleared to Drop;1094;AN-32 CLINE
17;Maritime Patrol Aircraft (MPA);64;Intervening;1095;AN-40
18;Search and Rescue (SAR);65;Diverting;1096;AN-72 COALER
19;Drone;66;Air-to-ground;1097;IL-12 COACH
20;Remotely Piloted Vehicle (RPV);67;Air-to-air;1098;IL-18 COOT
21;Fixed Wing Gunship;68;Precision Bombing;1099;IL-62 CLASSIC
22;Civil, Airliner;69;Laser Designation;1100;IL-76 CANDID
23;Civil, General;71;Shadowing;1101;IL-86 CAMBER
24;Lighter than Air (LTA);72;Covering;1102;TU-114 CLEAT
25;Glider;73;Visual Identification;1103;TU-134 CRUSTY
26;Decoy;74;High Energy Lasing;1104;TU-144 CHARGER
27;Helicopter (HELO);75;Electronic Protection (EP);1105;TU-154 CARELESS
28;Attack Helicopter;76;Special Operations;1106;YAK-40 CODLING
29;Helicopter Gunship;77;Nuclear, Biological, Chemical (NBC) Operations;1107;YAK-42 CLOBBER
30;Antisubmarine Warfare Helicopter (ASW HELO);78;Nuclear Operations;1108;TU-104
31;Mine Warfare Helicopter;79;Biological Operations;1109;YAK-27
32;Transport Helicopter;80;Chemical Operations;1110;IL-38
33;Tactical Support;81;Aborting Mission;1112;DO-228 LT (TRANSPORT)
34;Patrol;82;Standoff Operations;1114;AN-74
35;Miscellaneous Fixed Wing;83;Combat Search and Rescue (CSAR);1115;AN-124 CONDOR
36;Missile Control Unit;115;Air Activity 1;1116;A320 AIRBUS
37;Surface-to-Air Missile (SAM);116;Air Activity 2;1117;A321 AIRBUS
38;Air-to-Surface Missile (ASM);117;Air Activity 3;1118;A330 AIRBUS
39;Surface-to-Surface Missile (SSM);118;Air Activity 4;1119;A340 AIRBUS
40;Logistic;119;Air Activity 5;1120;AN-70
41;Air-to-Air Missile (AAM);120;Air Activity 6;1121;AN-225 COSSACK
42;Subsurface-to-Surface Missile;121;Air Activity 7;1122;BAE-125-600
43;Surface-to-Subsurface Missile;122;Air Activity 8;1123;BAE146
44;Cruise Missile;123;Air Activity 9;1124;B777
45;Ballistic Missile;124;Air Activity 10;1125;C-17 GLOBEMASTER III
46;Airborne Land Surveillance;125;Air Activity 11;1126;C-20 GULFSTREAM 3/4
47;Airborne Laser;126;Air Activity 12;1127;C-21 LEARJET 35
48;Unmanned Aerial Vehicle (UAV);1;Reconnaissance;1128;C-22
49;Active Electronic Decoy;2;Over the Horizon Targeting (OTHT);1129;C-23 SHERPA/SHORTS 330
50;Infrared Decoy;3;Training;1130;C-26 METRO 3
51;Chaff Decoy;4;Logistics Support;1131;YS 11
1;Fighter;5;Antisurface Warfare;1132;CL-600 CHALLENGER
2;Fighter Bomber;6;Electronic Warfare (EW);1133;CL-601 CHALLENGER
3;Attack;7;Surveillance;1134;CN-235M
4;Bomber;8;Search and Rescue (SAR);1135;EMB-120 BRASILLIA ADV
5;Reconnaissance;9;Escorting;1136;EMB-145 AMAZON
6;Tanker;10;Minelaying;1137;IL-78 MIDAS
7;Tanker (Boom Only);11;Transiting;1138;MD-11
8;Tanker (Drogue Only);12;Special Weapons Attack;1139;MD-80
9;Interceptor;13;Intruding;1140;MD-90
10;Transport;14;Electronic Warfare Support (ES);1141;PD-808
11;Airborne Command Post (ACP);15;Communications Relay;1142;TU-44
13;Missile;16;Patrol (Ocean Surveillance);1143;V-22 OSPREY
14;Electronic Warfare (EW);17;Airlift (Transport);1144;VC-25
15;Antisubmarine Warfare (ASW);18;Antisubmarine Warfare (ASW);1145;XC-2
16;Airborne Early Warning and Control (AEW);20;Towing;1146;IAI 1124
17;Maritime Patrol Aircraft (MPA);21;Air Assault;1147;1900
18;Search and Rescue (SAR);22;Interception;1149;580
19;Drone;23;Electronic Attack (EA);1150;ATR42
20;Remotely Piloted Vehicle (RPV);24;Policing;1153;C46 COMMANDO
21;Fixed Wing Gunship;25;Conventional Attack;1154;CARAVELL
22;Civil, Airliner;26;Medical Evacuation (MEDEVAC);1155;CC109
23;Civil, General;27;Mine Countermeasures;1157;DHC2
24;Lighter than Air (LTA);28;Search;1158;DHC6 TWIN OTTER
25;Glider;29;Refueling/Tanking;1159;DHC8
26;Decoy;30;Interdiction;1160;EMB110 BANDEIRANTE
27;Helicopter (HELO);31;Combat Air Patrol (CAP);1161;EMB121
28;Attack Helicopter;32;Forward Air Controller (FAC);1162;FALCON 200/FALCON 20
29;Helicopter Gunship;33;Very Important Person (VIP) Flight;1163;FALCON 50
30;Antisubmarine Warfare Helicopter (ASW HELO);34;Noncombatant Operations;1164;FALCON 900
31;Mine Warfare Helicopter;35;Close Air Support (CAS);1165;FH227 FRIENDSHIP
32;Transport Helicopter;36;Airborne Early Warning (AEW);1166;FOKKER 100
33;Tactical Support;37;Ground Attack Tactics (GAT);1167;FOKKER 50
34;Patrol;38;Airborne Command Post (ACP);1168;FOKKER 60
35;Miscellaneous Fixed Wing;39;Rescue Combat Air Patrol (RESCAP);1169;FOKKER 70
36;Missile Control Unit;40;Surface Combat Air Patrol (SUCAP);1170;GROB G850
37;Surface-to-Air Missile (SAM);42;Spotting;1171;GULFSTREAM 1
38;Air-to-Surface Missile (ASM);43;Strike Warfare;1172;GULFSTREAM 2
39;Surface-to-Surface Missile (SSM);44;Special;1173;JETSTREAM
40;Logistic;45;Hijack;1174;JETSTREAM 31
41;Air-to-Air Missile (AAM);46;Jammer;1175;KING AIR
42;Subsurface-to-Surface Missile;47;Trooplift;1176;L410 TURBOJET
43;Surface-to-Subsurface Missile;48;XRay;1177;LEARJET 23
44;Cruise Missile;49;Antiair Warfare (AAW);1178;LEARJET 24
45;Ballistic Missile;50;Command and Control;1179;LEARJET 25 (IMPROVED VER 28)
46;Airborne Land Surveillance;51;Counter-Air Warfare;1180;LEARJET 35/36
47;Airborne Laser;52;Return to Base (RTB);1181;LEARJET 55 (IMPROVED VER 28)
48;Unmanned Aerial Vehicle (UAV);53;Mine Warfare;1182;LEARJET 60
49;Active Electronic Decoy;54;Chaff Laying;1183;MERLIN 2
50;Infrared Decoy;55;Video Data Linking (Targeting);1184;MERLIN 3
51;Chaff Decoy;56;Dipping;1185;MERLIN 4
1;Fighter;58;Orbiting;1186;METRO 3
2;Fighter Bomber;59;Under Recall;1187;SAAB 2000
3;Attack;60;Engaging;1188;SAAB 340
4;Bomber;61;Engaging (Priority Kill);1189;SABRELINER
5;Reconnaissance;62;Investigating;1190;U6 BEAVER
6;Tanker;63;Cleared to Drop;1191;VISCOUNT
7;Tanker (Boom Only);64;Intervening;1193;Y11
8;Tanker (Drogue Only);65;Diverting;1194;Y12
9;Interceptor;66;Air-to-ground;1195;Y5
10;Transport;67;Air-to-air;1196;CC-115 BUFFALO
11;Airborne Command Post (ACP);68;Precision Bombing;1197;CC-130 HERCULES
13;Missile;69;Laser Designation;1198;CC-150 POLARIS
14;Electronic Warfare (EW);71;Shadowing;1199;C-235 CASA
15;Antisubmarine Warfare (ASW);72;Covering;1200;CC-138 TWIN OTTER
16;Airborne Early Warning and Control (AEW);73;Visual Identification;1201;DO-228 LM (POLLUTION CONTROL)
17;Maritime Patrol Aircraft (MPA);74;High Energy Lasing;1202;C-9 SKYTRAIN
18;Search and Rescue (SAR);75;Electronic Protection (EP);1203;C-9B SKYTRAIN II
19;Drone;76;Special Operations;1204;A319 AIRBUS
20;Remotely Piloted Vehicle (RPV);77;Nuclear, Biological, Chemical (NBC) Operations;1205;A400M AIRBUS
21;Fixed Wing Gunship;78;Nuclear Operations;1206;MV-22 OSPREY
22;Civil, Airliner;79;Biological Operations;1207;MC-130H/J COMBAT TALON
23;Civil, General;80;Chemical Operations;1208;C-130 H-30 HERCULES
24;Lighter than Air (LTA);81;Aborting Mission;1209;C-130 J-30 HERCULES
25;Glider;82;Standoff Operations;1210;TBM 700
26;Decoy;83;Combat Search and Rescue (CSAR);1211;C-130J HERCULES
27;Helicopter (HELO);115;Air Activity 1;1212;M-28
28;Attack Helicopter;116;Air Activity 2;1278;LIGHT CIVIL
29;Helicopter Gunship;117;Air Activity 3;1279;TRANSPORT/AIRLINER GENERAL
30;Antisubmarine Warfare Helicopter (ASW HELO);118;Air Activity 4;1280;AH-1 COBRA
31;Mine Warfare Helicopter;119;Air Activity 5;1281;AH-64 APACHE
32;Transport Helicopter;120;Air Activity 6;1282;CH-3
33;Tactical Support;121;Air Activity 7;1283;CH-46 SEA KNIGHT
34;Patrol;122;Air Activity 8;1284;CH-47 CHINOOK
35;Miscellaneous Fixed Wing;123;Air Activity 9;1285;CH-53 SEA STALLION
36;Missile Control Unit;124;Air Activity 10;1286;CH-54 LARKE (SKYCRANE)
37;Surface-to-Air Missile (SAM);125;Air Activity 11;1287;EH-60B QUICK FIX
38;Air-to-Surface Missile (ASM);126;Air Activity 12;1288;HH-1 IROQUOIS
39;Surface-to-Surface Missile (SSM);1;Reconnaissance;1289;HH-2 SEA SPRITE
40;Logistic;2;Over the Horizon Targeting (OTHT);1290;HH-3 JOLLY GREEN
41;Air-to-Air Missile (AAM);3;Training;1291;HH-52
42;Subsurface-to-Surface Missile;4;Logistics Support;1292;HH-53
43;Surface-to-Subsurface Missile;5;Antisurface Warfare;1293;OH-6
44;Cruise Missile;6;Electronic Warfare (EW);1294;OH-58 KIOWA
45;Ballistic Missile;7;Surveillance;1295;RH-3 SEA KING
46;Airborne Land Surveillance;8;Search and Rescue (SAR);1296;RH-53
47;Airborne Laser;9;Escorting;1297;SH-2 SEA SPRITE
48;Unmanned Aerial Vehicle (UAV);10;Minelaying;1298;SH-3 SEA KING
49;Active Electronic Decoy;11;Transiting;1299;SH-60 SEA HAWK
50;Infrared Decoy;12;Special Weapons Attack;1300;UH-1 IROQUOIS
51;Chaff Decoy;13;Intruding;1301;UH-2 SEA SPRITE
1;Fighter;14;Electronic Warfare Support (ES);1302;UH-12
2;Fighter Bomber;15;Communications Relay;1303;UH-46
3;Attack;16;Patrol (Ocean Surveillance);1304;UH-60 BLACKHAWK
4;Bomber;17;Airlift (Transport);1305;CH-2U
5;Reconnaissance;18;Antisubmarine Warfare (ASW);1306;HH-43
6;Tanker;20;Towing;1307;A109
7;Tanker (Boom Only);21;Air Assault;1308;A129 MONGOOSE
8;Tanker (Drogue Only);22;Interception;1309;BO-105
9;Interceptor;23;Electronic Attack (EA);1310;UH-1 IROQUOIS
10;Transport;24;Policing;1311;CH-124 SEA KING
11;Airborne Command Post (ACP);25;Conventional Attack;1312;UH-60 BLACKHAWK
13;Missile;26;Medical Evacuation (MEDEVAC);1313;UH-60 BLACKHAWK
14;Electronic Warfare (EW);27;Mine Countermeasures;1314;UH-60 BLACKHAWK
15;Antisubmarine Warfare (ASW);28;Search;1315;SA 315 LAMA
16;Airborne Early Warning and Control (AEW);29;Refueling/Tanking;1316;UH-1 IROQUOIS
17;Maritime Patrol Aircraft (MPA);30;Interdiction;1317;UH-1 IROQUOIS
18;Search and Rescue (SAR);31;Combat Air Patrol (CAP);1318;SA 321 SUPER FRELON
19;Drone;32;Forward Air Controller (FAC);1319;SA 330 PUMA
20;Remotely Piloted Vehicle (RPV);33;Very Important Person (VIP) Flight;1320;SA 332 SUPER PUMA
21;Fixed Wing Gunship;34;Noncombatant Operations;1321;WG-13 LYNX
22;Civil, Airliner;35;Close Air Support (CAS);1322;SA 350 ASTAR
23;Civil, General;36;Airborne Early Warning (AEW);1323;SA 360 DAUPHIN
24;Lighter than Air (LTA);37;Ground Attack Tactics (GAT);1324;SA 361 DAUPHIN
25;Glider;38;Airborne Command Post (ACP);1325;WG-13 LYNX
26;Decoy;39;Rescue Combat Air Patrol (RESCAP);1326;WG-13 LYNX
27;Helicopter (HELO);40;Surface Combat Air Patrol (SUCAP);1327;KA-18 HOG
28;Attack Helicopter;42;Spotting;1328;KA-20 HARP
29;Helicopter Gunship;43;Strike Warfare;1329;KA-25 HORMONE
30;Antisubmarine Warfare Helicopter (ASW HELO);44;Special;1330;KA-26 HOODLUM
31;Mine Warfare Helicopter;45;Hijack;1331;MI-1 HARE
32;Transport Helicopter;46;Jammer;1332;MI-2 HOPLITE
33;Tactical Support;47;Trooplift;1333;MI-4 HOUND
34;Patrol;48;XRay;1334;MI-6 HOOK
35;Miscellaneous Fixed Wing;49;Antiair Warfare (AAW);1335;MI-8 HIP
36;Missile Control Unit;50;Command and Control;1336;MI-10 HARKE
37;Surface-to-Air Missile (SAM);51;Counter-Air Warfare;1337;MI-12 HOMER
38;Air-to-Surface Missile (ASM);52;Return to Base (RTB);1338;MI-14 HAZE
39;Surface-to-Surface Missile (SSM);53;Mine Warfare;1339;MI-24 HIND
40;Logistic;54;Chaff Laying;1340;MI-26 HALO
41;Air-to-Air Missile (AAM);55;Video Data Linking (Targeting);1341;CH-53E SUPER STALLION
42;Subsurface-to-Surface Missile;56;Dipping;1342;MH-53E SEA DRAGON
43;Surface-to-Subsurface Missile;58;Orbiting;1343;HH-60 NIGHT HAWK
44;Cruise Missile;59;Under Recall;1344;HH-65A DOLPHIN
45;Ballistic Missile;60;Engaging;1345;KA-27 HELIX-A (ASW)
46;Airborne Land Surveillance;61;Engaging (Priority Kill);1346;KA-32 HELIX-C
47;Airborne Laser;62;Investigating;1347;MI-17 HIP-H
48;Unmanned Aerial Vehicle (UAV);63;Cleared to Drop;1348;MI-28 HAVOC
49;Active Electronic Decoy;64;Intervening;1349;AS-355 ECUREUIL/FENNEL/ESQILO
50;Infrared Decoy;65;Diverting;1350;KA-29 HELIX-B
51;Chaff Decoy;66;Air-to-ground;1351;KA-50 HOKUM
1;Fighter;67;Air-to-air;1352;204 BELL
2;Fighter Bomber;68;Precision Bombing;1353;205 BELL
3;Attack;69;Laser Designation;1354;206 BELL
4;Bomber;71;Shadowing;1355;214 BELL
5;Reconnaissance;72;Covering;1356;280 ENSTROM
6;Tanker;73;Visual Identification;1357;300 SCHWEIZER
7;Tanker (Boom Only);74;High Energy Lasing;1358;406 COMBAT SCOUT
8;Tanker (Drogue Only);75;Electronic Protection (EP);1359;A 109 HIRUNDO
9;Interceptor;76;Special Operations;1360;406 COMBAT SCOUT
10;Transport;77;Nuclear, Biological, Chemical (NBC) Operations;1361;406 COMBAT SCOUT
11;Airborne Command Post (ACP);78;Nuclear Operations;1362;406 COMBAT SCOUT
13;Missile;79;Biological Operations;1363;ALOUETTE 3
14;Electronic Warfare (EW);80;Chemical Operations;1364;AS 350 ECUREUIL
15;Antisubmarine Warfare (ASW);81;Aborting Mission;1365;AS 532 COUGAR
16;Airborne Early Warning and Control (AEW);82;Standoff Operations;1366;AS 550 FENNEC
17;Maritime Patrol Aircraft (MPA);83;Combat Search and Rescue (CSAR);1367;AS 555 FENNEC
18;Search and Rescue (SAR);115;Air Activity 1;1368;AS 565 PANTHER
19;Drone;116;Air Activity 2;1369;EH 101
20;Remotely Piloted Vehicle (RPV);117;Air Activity 3;1370;EH 101
21;Fixed Wing Gunship;118;Air Activity 4;1371;EH 101
22;Civil, Airliner;119;Air Activity 5;1372;KA-28 HELIX A
23;Civil, General;120;Air Activity 6;1373;MD 500 DEFENDER
24;Lighter than Air (LTA);121;Air Activity 7;1374;MI-22 HOOK
25;Glider;122;Air Activity 8;1375;MI-25 HIND
26;Decoy;123;Air Activity 9;1376;MI-35 HIND-V
27;Helicopter (HELO);124;Air Activity 10;1377;MI-9 HIP
28;Attack Helicopter;125;Air Activity 11;1378;SA 341 GAZELLE
29;Helicopter Gunship;126;Air Activity 12;1379;SA 342 GAZELLE
30;Antisubmarine Warfare Helicopter (ASW HELO);1;Reconnaissance;1380;SA 365 DAUPHIN 2
31;Mine Warfare Helicopter;2;Over the Horizon Targeting (OTHT);1381;HAS-3 WESSEX
32;Transport Helicopter;3;Training;1382;HAS-3 WESSEX
33;Tactical Support;4;Logistics Support;1383;Z9
34;Patrol;5;Antisurface Warfare;1384;CH-146 GRIFFON
35;Miscellaneous Fixed Wing;6;Electronic Warfare (EW);1385;MK-7 SEA KING ASACS
36;Missile Control Unit;7;Surveillance;1386;EH 101 MERLIN
37;Surface-to-Air Missile (SAM);8;Search and Rescue (SAR);1387;AB-212 AUGUSTA BELL
38;Air-to-Surface Missile (ASM);9;Escorting;1391;HUGHES 3000
39;Surface-to-Surface Missile (SSM);10;Minelaying;1393;SH-70L
40;Logistic;11;Transiting;1394;CH-113 LABRADOR
41;Air-to-Air Missile (AAM);12;Special Weapons Attack;1395;NH 90 (C2)
42;Subsurface-to-Surface Missile;13;Intruding;1396;NH 90 (RECCE)
43;Surface-to-Subsurface Missile;14;Electronic Warfare Support (ES);1397;NH 90 (EW/SEAD)
44;Cruise Missile;15;Communications Relay;1398;NH 90 (TRANSPORT)
45;Ballistic Missile;16;Patrol (Ocean Surveillance);1399;SEA LYNX MK88A
46;Airborne Land Surveillance;17;Airlift (Transport);1400;SEA KING MK41
47;Airborne Laser;18;Antisubmarine Warfare (ASW);1401;TIGER (HAP)
48;Unmanned Aerial Vehicle (UAV);20;Towing;1402;NH 90 (NAVY)
49;Active Electronic Decoy;21;Air Assault;1403;TIGER (HAC)
50;Infrared Decoy;22;Interception;1404;SA 341 GAZELLE CANON
51;Chaff Decoy;23;Electronic Attack (EA);1405;AS 532 COUGAR HORIZON
1;Fighter;24;Policing;1406;AW-520 SAR CORMORANT
2;Fighter Bomber;25;Conventional Attack;1407;W3 SOKOL
3;Attack;26;Medical Evacuation (MEDEVAC);1408;AH-1J SEA COBRA
4;Bomber;27;Mine Countermeasures;1409;AH-1S SEA COBRA
5;Reconnaissance;28;Search;1410;AH-1T SEA COBRA
6;Tanker;29;Refueling/Tanking;1411;AH-64A APACHE
7;Tanker (Boom Only);30;Interdiction;1412;EH-60 BLACKHAWK
8;Tanker (Drogue Only);31;Combat Air Patrol (CAP);1413;UH-60A BLACKHAWK
9;Interceptor;32;Forward Air Controller (FAC);1414;KA-25A HORMONE
10;Transport;33;Very Important Person (VIP) Flight;1415;KA-25B HORMONE
11;Airborne Command Post (ACP);34;Noncombatant Operations;1416;KA-25C HORMONE
13;Missile;35;Close Air Support (CAS);1417;KA-27 HELIX
14;Electronic Warfare (EW);36;Airborne Early Warning (AEW);1418;MI-8C HIP
15;Antisubmarine Warfare (ASW);37;Ground Attack Tactics (GAT);1419;MI-8D-HIP
16;Airborne Early Warning and Control (AEW);38;Airborne Command Post (ACP);1420;MI-8E HIP
17;Maritime Patrol Aircraft (MPA);39;Rescue Combat Air Patrol (RESCAP);1421;MI-8F HIP
18;Search and Rescue (SAR);40;Surface Combat Air Patrol (SUCAP);1422;MI-8H HIP
19;Drone;42;Spotting;1423;MI-8J HIP
20;Remotely Piloted Vehicle (RPV);43;Strike Warfare;1424;MI-8K HIP
21;Fixed Wing Gunship;44;Special;1425;MI-14 HAZE-A
22;Civil, Airliner;45;Hijack;1426;MI-14 HAZE-B
