Platnum;Platval;Actnum;Actval;Stypenum;Stypeval
33;Missile Control Unit;12;Naval Surface Fire Support;1523;SAAR 3 PGF
34;Decoy;13;Intruding;1524;SAAR 4 PGF
35;Infrared Decoy;14;Amphibious Warfare;1525;SAAR 5 PGF
36;Chaff Decoy;15;Intelligence Collecting;1530;SORUM PGF
37;Active Electronic Decoy;16;Patrol;1531;STORM PGF
1;Aircraft Carrier;17;Transport;1532;T PGF
2;Battleship;18;Antisubmarine Warfare (ASW);1533;T-43 PGF
3;Cruiser;20;Towing;1534;T-58 PGF
4;Destroyer;21;Special Warfare;1535;VOSPER 100-FT PGF
5;Frigate;22;Strike Warfare;1536;VOSPER BRAVE PGF
6;Fast Patrol Boat;23;Antiair Warfare;1537;WILLEMOES PGF
7;Amphibious;24;Fishing;1538;DOGAN PGF
8;LHA/LHD;25;Picketing;1539;YILDIZ PGF
9;Amphibious Assault Command Ship (LCC);26;Mine Countermeasures;1540;KILIC PGF
10;Landing Craft (LC);27;Mine Warfare;1541;HAMINA PGF
11;Troop Ship;28;Marking;1542;RAUMA PGF
12;Tanker/Oiler;29;Noncombatant Operations;1584;PC GENERAL (SUBMARINE CHASER/ESCORT CRAFT, GENERAL)
13;Auxiliary Ship;30;Underway Replenishment;1586;AGDLEK PC
14;Mine Warfare Ship;31;Surveying;1591;BROOKE MARINE 108-FT PC
15;Mine Countermeasures Maritime Vessel (MCMV);32;Electronic Warfare Support (ES);1592;CACINE PC
16;Hospital Ship;33;Electronic Attack (EA);1594;DAPHNE PC
17;Surfaced Submarine;34;Flight Operations;1596;HAIKOU PC
18;Hydrofoil;35;Video Data Linking (Targeting);1597;HAINAN PC
19;Air Cushion Vehicle;36;Plane Guard;1598;HANOE PC
20;Intelligence Collector;37;Rescue Ship/Lifeguard;1599;K-48 PC
21;Survey Vessel;38;Special Operations;1600;KRALJEVICA PC
22;Non-Military;39;Shadowing;1601;KRONSHTADT PC
23;Landing Platform;40;Intervening;1602;LAKE PC
24;Landing Ship;41;Nuclear, Biological, Chemical (NBC) Operations;1603;MAGAEN PC
25;Command;42;Nuclear Operations;1604;MATSUNAMI PC
26;Ocean Research;43;Biological Operations;1605;MIZUTORI PC
27;Patrol;44;Chemical Operations;1606;MURAKUMO PC
28;Support;45;Electronic Protection (EP);1607;OBLUZE PC
29;Fishing Vessel;46;Combat Search and Rescue (CSAR);1608;PGM 71 PC
30;Merchant Vessel;47;BMD Mission;1609;SDB MK II PC
31;Patrol Craft Escort;50;Return To Base (RTB);1610;SDB MK III PC
32;Amphibious General Assault;115;Surface Activity 1;1611;SEAFORTH PC
33;Missile Control Unit;116;Surface Activity 2;1612;SHANGHAI PC
34;Decoy;117;Surface Activity 3;1613;SHANGHAI II PC
35;Infrared Decoy;118;Surface Activity 4;1614;SHANGHAI II (MODIFIED) PC
36;Chaff Decoy;119;Surface Activity 5;1615;SHIKINAMI PC
37;Active Electronic Decoy;120;Surface Activity 6;1616;SO-1 PC
1;Aircraft Carrier;121;Surface Activity 7;1617;SOMAN PC
2;Battleship;122;Surface Activity 8;1618;STENKA PC
3;Cruiser;123;Surface Activity 9;1619;T-58 PC
4;Destroyer;124;Surface Activity 10;1620;TAECHONG PC
5;Frigate;125;Surface Activity 11;1621;UK FORD PC
6;Fast Patrol Boat;126;Surface Activity 12;1622;UMIGIRI PC
7;Amphibious;1;Air Warfare Support;1623;US 110-FT PC
8;LHA/LHD;2;Over the Horizon Targeting (OTHT);1624;US 173-FT PC
9;Amphibious Assault Command Ship (LCC);3;Training;1625;ARCHER PC
10;Landing Craft (LC);4;Logistics Support;1626;ARCHER PC
11;Troop Ship;5;Antisurface Warfare;1628;23M PC (MANLY) PC
12;Tanker/Oiler;6;Electronic Warfare (EW);1682;PCF GENERAL (PATROL SUBCHASER, FAST)
13;Auxiliary Ship;7;Fishery Protection;1683;BABOCHKA PCF
14;Mine Warfare Ship;8;Search and Rescue (SAR);1684;MURAVEY PCF
15;Mine Countermeasures Maritime Vessel (MCMV);9;Escorting;1686;SO-1 (MODIFIED) PCF
16;Hospital Ship;10;Minelaying;1697;PCE GENERAL (PATROL, COASTAL, ESCORT)
17;Surfaced Submarine;11;Transiting;1708;PB GENERAL (PATROL BOAT)
18;Hydrofoil;12;Naval Surface Fire Support;1709;AKAGI PB
19;Air Cushion Vehicle;13;Intruding;1710;AKIZUKI PB
20;Intelligence Collector;14;Amphibious Warfare;1711;ALBATROZ PB
21;Survey Vessel;15;Intelligence Collecting;1712;BARSO PB
22;Non-Military;16;Patrol;1713;BARSO PB
23;Landing Platform;17;Transport;1715;BIZAN PB
24;Landing Ship;18;Antisubmarine Warfare (ASW);1716;BROOKE MARINE 37.5M PB
25;Command;20;Towing;1718;DABUR PB
26;Ocean Research;21;Special Warfare;1719;DALARO PB
27;Patrol;22;Strike Warfare;1720;DE L'ESTEREL PB
28;Support;23;Antiair Warfare;1721;DILOS PB
29;Fishing Vessel;24;Fishing;1722;DOM ALEIXO PB
30;Merchant Vessel;25;Picketing;1724;FREMANTLE PB
31;Patrol Craft Escort;26;Mine Countermeasures;1725;GOULANDRIS PB
32;Amphibious General Assault;27;Mine Warfare;1726;GUANABACOA PB
33;Missile Control Unit;28;Marking;1727;HAMAGIRI PB
34;Decoy;29;Noncombatant Operations;1728;HAMELIN 37M PB
35;Infrared Decoy;30;Underway Replenishment;1729;HIDAKA PB
36;Chaff Decoy;31;Surveying;1730;HUANGPU PB
37;Active Electronic Decoy;32;Electronic Warfare Support (ES);1732;KIMJIN 67-FT PB
1;Aircraft Carrier;33;Electronic Attack (EA);1733;MATSUNAMI PB
2;Battleship;34;Flight Operations;1734;MURAKUMO PB
3;Cruiser;35;Video Data Linking (Targeting);1735;OIRASE PB
4;Destroyer;36;Plane Guard;1736;P 400 PGF
5;Frigate;37;Rescue Ship/Lifeguard;1737;P-6 PB
6;Fast Patrol Boat;38;Special Operations;1738;PANAGOPOULOS PB
7;Amphibious;39;Shadowing;1739;PATRA PB
8;LHA/LHD;40;Intervening;1740;PBR MK V PBR
9;Amphibious Assault Command Ship (LCC);41;Nuclear, Biological, Chemical (NBC) Operations;1741;PBR MK IV PBR
10;Landing Craft (LC);42;Nuclear Operations;1742;PGM 71 PB
11;Troop Ship;43;Biological Operations;1743;PO-2 PB
12;Tanker/Oiler;44;Chemical Operations;1744;POLISH K-8 PB
13;Auxiliary Ship;45;Electronic Protection (EP);1745;POLUCHAT I PB
14;Mine Warfare Ship;46;Combat Search and Rescue (CSAR);1746;SHANTOU PB
15;Mine Countermeasures Maritime Vessel (MCMV);47;BMD Mission;1747;SHIKINAMI PB
16;Hospital Ship;50;Return To Base (RTB);1748;SINHUNG 72-FT PB
17;Surfaced Submarine;115;Surface Activity 1;1749;SKANOER PB
18;Hydrofoil;116;Surface Activity 2;1750;SOYA/TSUGARU PB
19;Air Cushion Vehicle;117;Surface Activity 3;1751;SPEAR PB
20;Intelligence Collector;118;Surface Activity 4;1752;STEWART 85-FT PB
21;Survey Vessel;119;Surface Activity 5;1753;SWATOW PB
22;Non-Military;120;Surface Activity 6;1754;SWIFT PB
23;Landing Platform;121;Surface Activity 7;1755;TAISHAN PB
24;Landing Ship;122;Surface Activity 8;1756;TESHIO PB
25;Command;123;Surface Activity 9;1757;TRACKER PB
26;Ocean Research;124;Surface Activity 10;1758;US 110-FT PB
27;Patrol;125;Surface Activity 11;1759;US ARMY 2001 65-FT PB
28;Support;126;Surface Activity 12;1760;USCG 83-FT PB
29;Fishing Vessel;1;Air Warfare Support;1761;VEDETTE 28 92-FT PB
30;Merchant Vessel;2;Over the Horizon Targeting (OTHT);1762;VIKRAM PB
31;Patrol Craft Escort;3;Training;1763;VOSPER 70-FT PB
32;Amphibious General Assault;4;Logistics Support;1764;YAMAYURI PB
33;Missile Control Unit;5;Antisurface Warfare;1765;ZHUK PB
34;Decoy;6;Electronic Warfare (EW);1767;MARS PB
35;Infrared Decoy;7;Fishery Protection;1769;MERIKARHU PB
36;Chaff Decoy;8;Search and Rescue (SAR);1770;TURSAS PB
37;Active Electronic Decoy;9;Escorting;1771;TELKKA PB
1;Aircraft Carrier;10;Minelaying;1843;PBF GENERAL (PATROL BOAT, FAST)
2;Battleship;11;Transiting;1844;CHAHO (CHODO) PBF
3;Cruiser;12;Naval Surface Fire Support;1846;GIRNE PBF
4;Destroyer;13;Intruding;1847;HAUK PBF
5;Frigate;14;Amphibious Warfare;1848;HUGIN PBF
6;Fast Patrol Boat;15;Intelligence Collecting;1849;SLEPEN PBF
7;Amphibious;16;Patrol;1851;SPICA PBF
8;LHA/LHD;17;Transport;1853;KIISLA PBF
9;Amphibious Assault Command Ship (LCC);18;Antisubmarine Warfare (ASW);1864;PBS GENERAL (PATROL BOAT, FIRE SUPPORT)
10;Landing Craft (LC);20;Towing;1875;PBR GENERAL (PATROL BOAT, RIVER/ROADSTEAD)
11;Troop Ship;21;Special Warfare;1876;LEIE PBR
12;Tanker/Oiler;22;Strike Warfare;1877;PIYAVKA PBR
13;Auxiliary Ship;23;Antiair Warfare;1878;SHMEL PBR
14;Mine Warfare Ship;24;Fishing;1879;VOSH PBR
15;Mine Countermeasures Maritime Vessel (MCMV);25;Picketing;1880;YATUSH PBR
16;Hospital Ship;26;Mine Countermeasures;1881;YAZ PBR
17;Surfaced Submarine;27;Mine Warfare;1892;PT GENERAL (TORPEDO BOAT)
18;Hydrofoil;28;Marking;1893;AN JU PT
19;Air Cushion Vehicle;29;Noncombatant Operations;1894;EPITROP PT
20;Intelligence Collector;30;Underway Replenishment;1895;HIGGINS PT
21;Survey Vessel;31;Surveying;1896;HUCHUAN PTH
22;Non-Military;32;Electronic Warfare Support (ES);1897;HUZHOU PT
23;Landing Platform;33;Electronic Attack (EA);1898;IWON PT
24;Landing Ship;34;Flight Operations;1900;KU SONG PT
25;Command;35;Video Data Linking (Targeting);1901;NO. 11 PT
26;Ocean Research;36;Plane Guard;1902;P-4 PT
27;Patrol;37;Rescue Ship/Lifeguard;1903;P-6 PT
28;Support;38;Special Operations;1904;PILICA PT
29;Fishing Vessel;39;Shadowing;1905;SHERSHEN PT
30;Merchant Vessel;40;Intervening;1906;SIN HUNG PT
31;Patrol Craft Escort;41;Nuclear, Biological, Chemical (NBC) Operations;1907;SIN NAM PT
32;Amphibious General Assault;42;Nuclear Operations;1908;SINPO PT
33;Missile Control Unit;43;Biological Operations;1909;SOLOVEN PT
34;Decoy;44;Chemical Operations;1911;TJELD PT
35;Infrared Decoy;45;Electronic Protection (EP);1912;WISLA PT
36;Chaff Decoy;46;Combat Search and Rescue (CSAR);1914;SHANGDONG PT
37;Active Electronic Decoy;47;BMD Mission;1915;TURYA PT
1;Aircraft Carrier;50;Return To Base (RTB);2048;PHM GENERAL (MISSILE HYDROFOIL)
2;Battleship;115;Surface Activity 1;2049;MATKA PHM
3;Cruiser;116;Surface Activity 2;2050;PEGASUS PHM
4;Destroyer;117;Surface Activity 3;2051;SARANCHA PHM
5;Frigate;118;Surface Activity 4;2052;SHIMRIT PHM
6;Fast Patrol Boat;119;Surface Activity 5;2053;SPARVIERO PHM
7;Amphibious;120;Surface Activity 6;2064;BM GENERAL (MONITOR, RIVER, PATROL)
8;LHA/LHD;121;Surface Activity 7;2075;BMR GENERAL (MONITOR, RIVER)
9;Amphibious Assault Command Ship (LCC);122;Surface Activity 8;2086;SWCL GENERAL (SPECIAL WARFARE CRAFT, LIGHT)
10;Landing Craft (LC);123;Surface Activity 9;2097;AA GENERAL (AUXILIARY TYPE SHIP, GENERAL)
11;Troop Ship;124;Surface Activity 10;2108;AG GENERAL (MISCELLANEOUS AUXILIARY)
12;Tanker/Oiler;125;Surface Activity 11;2109;ADOLF AG
13;Auxiliary Ship;126;Surface Activity 12;2110;AKIZUKI AG
14;Mine Warfare Ship;1;Air Warfare Support;2111;ANGARA AG
15;Mine Countermeasures Maritime Vessel (MCMV);2;Over the Horizon Targeting (OTHT);2112;ARGO AG
16;Hospital Ship;3;Training;2113;AYANAMI AG
17;Surfaced Submarine;4;Logistics Support;2116;CHAMOIS AG
18;Hydrofoil;5;Antisurface Warfare;2117;CHIHAYA AG
19;Air Cushion Vehicle;6;Electronic Warfare (EW);2118;DALDYN AG
20;Intelligence Collector;7;Fishery Protection;2120;DINGHAI AG
21;Survey Vessel;8;Search and Rescue (SAR);2121;ENDURANCE AG
22;Non-Military;9;Escorting;2122;EXPLORER AG
23;Landing Platform;10;Minelaying;2124;FRIPONNE AG
24;Landing Ship;11;Transiting;2125;GALEB AG
25;Command;12;Naval Surface Fire Support;2127;HAM AG
26;Ocean Research;13;Intruding;2129;HAYABUSA AG
27;Patrol;14;Amphibious Warfare;2131;ISLES AG
28;Support;15;Intelligence Collecting;2132;KEYLA AG
29;Fishing Vessel;16;Patrol;2133;KURIHAMA AG
30;Merchant Vessel;17;Transport;2135;ATHOS AG
31;Patrol Craft Escort;18;Antisubmarine Warfare (ASW);2137;LENTRA AG
32;Amphibious General Assault;20;Towing;2138;LIANYUN AG
33;Missile Control Unit;21;Special Warfare;2139;LSIL AG
34;Decoy;22;Strike Warfare;2141;MP-2 AG
35;Infrared Decoy;23;Antiair Warfare;2142;MP-8 AG
36;Chaff Decoy;24;Fishing;2143;MURASAME AG
37;Active Electronic Decoy;25;Picketing;2144;NEFTEGAZ AG
1;Aircraft Carrier;26;Mine Countermeasures;2145;N0. 81 AG
2;Battleship;27;Mine Warfare;2146;NORGE AG
3;Cruiser;28;Marking;2147;OHRE AG
4;Destroyer;29;Noncombatant Operations;2148;ONEGA AG
5;Frigate;30;Underway Replenishment;2149;POSEIDON AG
6;Fast Patrol Boat;31;Surveying;2150;POSEIDON AG
7;Amphibious;32;Electronic Warfare Support (ES);2151;PS-10 AG
8;LHA/LHD;33;Electronic Attack (EA);2152;RARI AG
9;Amphibious Assault Command Ship (LCC);34;Flight Operations;2154;SABAC AG
10;Landing Craft (LC);35;Video Data Linking (Targeting);2155;SHAHSAVAR AG
11;Troop Ship;36;Plane Guard;2156;ST. LYKOUDIS AG
12;Tanker/Oiler;37;Rescue Ship/Lifeguard;2157;STALWART AG
13;Auxiliary Ship;38;Special Operations;2158;T-43 AG
14;Mine Warfare Ship;39;Shadowing;2159;TAPATAI AG
15;Mine Countermeasures Maritime Vessel (MCMV);40;Intervening;2160;TAPPE AG
16;Hospital Ship;41;Nuclear, Biological, Chemical (NBC) Operations;2161;THULE AG
17;Surfaced Submarine;42;Nuclear Operations;2162;TOMBA AG
18;Hydrofoil;43;Biological Operations;2163;TSUGARU AG
19;Air Cushion Vehicle;44;Chemical Operations;2165;US 184 FT. PCE AG
20;Intelligence Collector;45;Electronic Protection (EP);2166;US 72 FT. HMDL AG
21;Survey Vessel;46;Combat Search and Rescue (CSAR);2167;VANGUARD AG
22;Non-Military;47;BMD Mission;2168;VIS AG
23;Landing Platform;50;Return To Base (RTB);2169;VYTEGRALES AG
24;Landing Ship;115;Surface Activity 1;2170;WHISKEY AG
25;Command;116;Surface Activity 2;2171;WILHELM PULLWER (TYPE 741) AG
26;Ocean Research;117;Surface Activity 3;2172;PELIKAAN AG
27;Patrol;118;Surface Activity 4;2175;STERNE AG
28;Support;119;Surface Activity 5;2176;ALBATROS AG
29;Fishing Vessel;120;Surface Activity 6;2257;ARV GENERAL (AIRCRAFT REPAIR SHIP)
30;Merchant Vessel;121;Surface Activity 7;2258;ARGUS ARV
31;Patrol Craft Escort;122;Surface Activity 8;2259;ENGADINE ARV
32;Amphibious General Assault;123;Surface Activity 9;2260;RELIANT ARV
33;Missile Control Unit;124;Surface Activity 10;2271;AVT GENERAL (AUXILIARY AIRCRAFT LANDING TRAINING SHIP)
34;Decoy;125;Surface Activity 11;2283;AE GENERAL (AMMUNITION SHIP)
35;Infrared Decoy;126;Surface Activity 12;2284;EVROS AE
36;Chaff Decoy;1;Air Warfare Support;2286;KILAUEA AE
37;Active Electronic Decoy;2;Over the Horizon Targeting (OTHT);2287;NITRO AE
1;Aircraft Carrier;3;Training;2288;REGENT AE
2;Battleship;4;Logistics Support;2290;WESTERWALD (TYPE 760) AE
3;Cruiser;5;Antisurface Warfare;2302;AEL GENERAL (AMMUNITION SHIP, SMALL)
4;Destroyer;6;Electronic Warfare (EW);2313;AET GENERAL (AMMUNITION TRANSPORT)
5;Frigate;7;Fishery Protection;2324;AETL GENERAL (AMMUNITION TRANSPORT, SMALL)
6;Fast Patrol Boat;8;Search and Rescue (SAR);2335;AGF GENERAL (AUXILIARY FLAG OR COMMAND SHIP)
7;Amphibious;9;Escorting;2337;CORONADO AGF
8;LHA/LHD;10;Minelaying;2338;GODETIA AGF
9;Amphibious Assault Command Ship (LCC);11;Transiting;2339;LA SALLE AGF
10;Landing Craft (LC);12;Naval Surface Fire Support;2341;ZINNIA AGF
11;Troop Ship;13;Intruding;2342;ELBE (TYPE 404) AGF
12;Tanker/Oiler;14;Amphibious Warfare;2352;ACM GENERAL (AUXILIARY MINE WARFARE SUPPORT SHIP)
13;Auxiliary Ship;15;Intelligence Collecting;2363;APB GENERAL (BARRACKS SHIP)
14;Mine Warfare Ship;16;Patrol;2375;ABU GENERAL (BUOY TENDER)
15;Mine Countermeasures Maritime Vessel (MCMV);17;Transport;2376;CARDENAS ABU
16;Hospital Ship;18;Antisubmarine Warfare (ASW);2377;FINIK ABU
17;Surfaced Submarine;20;Towing;2378;KARPF II ABU
18;Hydrofoil;21;Special Warfare;2379;SKB 64 ABU
19;Air Cushion Vehicle;22;Strike Warfare;2380;YANTAI ABU
20;Intelligence Collector;23;Antiair Warfare;2381;YANNAN ABU
21;Survey Vessel;24;Fishing;2382;YANGUAN ABU
22;Non-Military;25;Picketing;2383;TIANEE ABU
23;Landing Platform;26;Mine Countermeasures;2396;ABUD GENERAL (BUOY TENDER, HEAVY LIFT)
24;Landing Ship;27;Mine Warfare;2407;ANL GENERAL (CABLE/NET LAYING SHIP)
25;Command;28;Marking;2418;ARC GENERAL (CABLE SHIP)
26;Ocean Research;29;Noncombatant Operations;2419;EMBA ARC
27;Patrol;30;Underway Replenishment;2420;KALAR ARC
28;Support;31;Surveying;2421;KALAR ARC
29;Fishing Vessel;32;Electronic Warfare Support (ES);2422;KLASMA ARC
30;Merchant Vessel;33;Electronic Attack (EA);2423;MP-2 ARC
31;Patrol Craft Escort;34;Flight Operations;2424;NEPTUNE ARC
32;Amphibious General Assault;35;Video Data Linking (Targeting);2425;TELNOVSK (MODIFIED) ARC
33;Missile Control Unit;36;Plane Guard;2426;YOUDIAN ARC
34;Decoy;37;Rescue Ship/Lifeguard;2427;ZEUS ARC
35;Infrared Decoy;38;Special Operations;2441;AK GENERAL (CARGO SHIP, NAVAL)
36;Chaff Decoy;39;Shadowing;2442;2ND LT JOHN P BOBO AK
37;Active Electronic Decoy;40;Intervening;2443;ALCHIBA AK
1;Aircraft Carrier;41;Nuclear, Biological, Chemical (NBC) Operations;2444;AMGUEMA AK
2;Battleship;42;Nuclear Operations;2445;ANDIZHAN AK
3;Cruiser;43;Biological Operations;2446;ANDONG AK
4;Destroyer;44;Chemical Operations;2447;ANDROMEDA (CONVERTED) AK
5;Frigate;45;Electronic Protection (EP);2448;ANDONG AK
6;Fast Patrol Boat;46;Combat Search and Rescue (CSAR);2449;BARRICADE AK
7;Amphibious;47;BMD Mission;2450;BITTERBUSH AK
8;LHA/LHD;50;Return To Base (RTB);2451;C3-S-33A (CONVERTED) AK
9;Amphibious Assault Command Ship (LCC);115;Surface Activity 1;2452;C4-S-66A AK
10;Landing Craft (LC);116;Surface Activity 2;2453;C4-S-69B AK
11;Troop Ship;117;Surface Activity 3;2454;C4-S-A3 AK
12;Tanker/Oiler;118;Surface Activity 4;2455;C5-S-75A AK
13;Auxiliary Ship;119;Surface Activity 5;2456;CHULYM AK
14;Mine Warfare Ship;120;Surface Activity 6;2457;CPL LOUIS J HAUGE JR AK
15;Mine Countermeasures Maritime Vessel (MCMV);121;Surface Activity 7;2458;DINGHAI AK
16;Hospital Ship;122;Surface Activity 8;2459;DONBA SS AK
17;Surfaced Submarine;123;Surface Activity 9;2460;FS DESIGN 330 AK
18;Hydrofoil;124;Surface Activity 10;2461;GALATI AK
19;Air Cushion Vehicle;125;Surface Activity 11;2462;HONGQI AK
20;Intelligence Collector;126;Surface Activity 12;2463;ISLES AK
21;Survey Vessel;1;Air Warfare Support;2464;KANARYA AK
22;Non-Military;2;Over the Horizon Targeting (OTHT);2465;KOLOMNA AK
23;Landing Platform;3;Training;2466;LENINGRADSKY KOMSOMOLETS AK
24;Landing Ship;4;Logistics Support;2467;LSIL AK
25;Command;5;Antisurface Warfare;2468;NEON ANTONOV AK
26;Ocean Research;6;Electronic Warfare (EW);2469;NORWALK AK
27;Patrol;7;Fishery Protection;2470;PT-61 AK
28;Support;8;Search and Rescue (SAR);2471;SGT MATEJ KOCAK AK
29;Fishing Vessel;9;Escorting;2472;THROSK AK
30;Merchant Vessel;10;Minelaying;2473;TREE AK
31;Patrol Craft Escort;11;Transiting;2474;YANHANG AK
32;Amphibious General Assault;12;Naval Surface Fire Support;2475;YUNYY PARTIZAN AK
33;Missile Control Unit;13;Intruding;2522;AKL GENERAL (CARGO SHIP, LIGHT, NAVAL)
34;Decoy;14;Amphibious Warfare;2523;ELTANIN AKL
35;Infrared Decoy;15;Intelligence Collecting;2524;KEYLA AKL
36;Chaff Decoy;16;Patrol;2528;MP 4 AKL
37;Active Electronic Decoy;17;Transport;2529;MP 6 AKL
1;Aircraft Carrier;18;Antisubmarine Warfare (ASW);2530;MUNA AKL
2;Battleship;20;Towing;2531;SEKSTAN AKL
3;Cruiser;21;Special Warfare;2532;TELNOVSK AKL
4;Destroyer;22;Strike Warfare;2533;WISTING AKL
5;Frigate;23;Antiair Warfare;2534;GORGONA AKL
6;Fast Patrol Boat;24;Fishing;2550;AKR GENERAL (CARGO SHIP, RO/RO, NAVAL)
7;Amphibious;25;Picketing;2551;ALGOL (SL 7) AKR
8;LHA/LHD;26;Mine Countermeasures;2553;COMET AKR
9;Amphibious Assault Command Ship (LCC);27;Mine Warfare;2554;METEOR AKR
10;Landing Craft (LC);28;Marking;2555;METEOR AKR
11;Troop Ship;29;Noncombatant Operations;2556;MAINE (CONVERTED) AKR
12;Tanker/Oiler;30;Underway Replenishment;2567;AFS GENERAL (COMBAT STORES SHIP)
13;Auxiliary Ship;31;Surveying;2568;FORT AFS
14;Mine Warfare Ship;32;Electronic Warfare Support (ES);2571;RESOURCE AFS
15;Mine Countermeasures Maritime Vessel (MCMV);33;Electronic Attack (EA);2581;AOE GENERAL (COMBAT SUPPORT SHIP, FAST)
16;Hospital Ship;34;Flight Operations;2582;SACRAMENTO AOE
17;Surfaced Submarine;35;Video Data Linking (Targeting);2583;SAGAMI AOE
18;Hydrofoil;36;Plane Guard;2594;AD GENERAL (DESTROYER TENDER)
19;Air Cushion Vehicle;37;Rescue Ship/Lifeguard;2598;STALWART AD
20;Intelligence Collector;38;Special Operations;2609;AWW GENERAL (DISTILLING SHIP, NAVAL)
21;Survey Vessel;39;Shadowing;2620;AH GENERAL (HOSPITAL SHIP)
22;Non-Military;40;Intervening;2621;HAVEN AH
23;Landing Platform;41;Nuclear, Biological, Chemical (NBC) Operations;2622;OB' AH
24;Landing Ship;42;Nuclear Operations;2633;AGB GENERAL (ICEBREAKER)
25;Command;43;Biological Operations;2634;DOBRYNYA NIKITICH AGB
26;Ocean Research;44;Chemical Operations;2635;HANSE AGB
27;Patrol;45;Electronic Protection (EP);2637;SHIRASE AGB
28;Support;46;Combat Search and Rescue (CSAR);2638;YANHA AGB
29;Fishing Vessel;47;BMD Mission;2649;AGBL GENERAL (ICEBREAKER, SMALL)
30;Merchant Vessel;50;Return To Base (RTB);2650;EISVOGEL (TYPE 721) AGBL
31;Patrol Craft Escort;115;Surface Activity 1;2662;AGI GENERAL (INTELLIGENCE COLLECTOR)
32;Amphibious General Assault;116;Surface Activity 2;2663;ALPINIST AGI
33;Missile Control Unit;117;Surface Activity 3;2664;ARMINZA AGI
34;Decoy;118;Surface Activity 4;2666;BALZAM AGI
35;Infrared Decoy;119;Surface Activity 5;2667;BOLOGOE AGI
36;Chaff Decoy;120;Surface Activity 6;2669;HAM AGI
37;Active Electronic Decoy;121;Surface Activity 7;2673;MAYAK AGI
1;Aircraft Carrier;122;Surface Activity 8;2674;MIRNYY AGI
2;Battleship;123;Surface Activity 9;2675;MOMA AGI
3;Cruiser;124;Surface Activity 10;2676;NIKOLAY ZUBOV AGI
4;Destroyer;125;Surface Activity 11;2677;OKEAN AGI
5;Frigate;126;Surface Activity 12;2679;PAMIR AGI
6;Fast Patrol Boat;1;Air Warfare Support;2680;PRIMORYE AGI
7;Amphibious;2;Over the Horizon Targeting (OTHT);2681;ALSTER (TYPE 123) AGI
8;LHA/LHD;3;Training;2706;ALS GENERAL (LIGHT SHIP)
9;Amphibious Assault Command Ship (LCC);4;Logistics Support;2717;AEM GENERAL (MISSILE SUPPORT SHIP)
10;Landing Craft (LC);5;Antisurface Warfare;2718;AMGA AEM
11;Troop Ship;6;Electronic Warfare (EW);2719;ANDIZHAN (MODIFIED) AEM
12;Tanker/Oiler;7;Fishery Protection;2720;LAMA AEM
13;Auxiliary Ship;8;Search and Rescue (SAR);2721;MALINA AEM
14;Mine Warfare Ship;9;Escorting;2722;MELITOPOL AEM
15;Mine Countermeasures Maritime Vessel (MCMV);10;Minelaying;2723;MP 6 AEM
16;Hospital Ship;11;Transiting;2734;AGM GENERAL (MISSILE RANGE INSTRUMENTATION SHIP)
17;Surfaced Submarine;12;Naval Surface Fire Support;2735;AGM-24 AGM
18;Hydrofoil;13;Intruding;2736;GEN HOYT S VANDENBERG AGM
19;Air Cushion Vehicle;14;Amphibious Warfare;2737;OBSERVATION ISLAND AGM
20;Intelligence Collector;15;Intelligence Collecting;2739;REDSTONE AGM
21;Survey Vessel;16;Patrol;2750;AGOR GENERAL (OCEANOGRAPHIC RESEARCH SHIP)
22;Non-Military;17;Transport;2751;ABKHAZIYA AGOR
23;Landing Platform;18;Antisubmarine Warfare (ASW);2752;AKADEMIK KRYLOV AGOR
24;Landing Ship;20;Towing;2753;ARAD AGOR
25;Command;21;Special Warfare;2754;BALIKPAPAN AGOR
26;Ocean Research;22;Strike Warfare;2755;BELGICA AGOR
27;Patrol;23;Antiair Warfare;2758;D'ENTRECASTEAUX AGOR
28;Support;24;Fishing;2759;DOBRYNYA NIKITICH AGOR
29;Fishing Vessel;25;Picketing;2760;DONG MING AGOR
30;Merchant Vessel;26;Mine Countermeasures;2761;ELTANIN AGOR
31;Patrol Craft Escort;27;Mine Warfare;2763;FRANCESCO NULLO AGOR
32;Amphibious General Assault;28;Marking;2765;GRIGORE ANTIPA AGOR
33;Missile Control Unit;29;Noncombatant Operations;2766;GYRE AGOR
34;Decoy;30;Underway Replenishment;2767;HAYES AGOR
35;Infrared Decoy;31;Surveying;2768;HECLA AGOR
36;Chaff Decoy;32;Electronic Warfare Support (ES);2769;MELVILLE AGOR
37;Active Electronic Decoy;33;Electronic Attack (EA);2770;MSC 60 AGOR
1;Aircraft Carrier;34;Flight Operations;2771;NAUTILUS AGOR
2;Battleship;35;Video Data Linking (Targeting);2772;NEVELSKOY AGOR
3;Cruiser;36;Plane Guard;2773;NIKOLAY ZUBOV AGOR
4;Destroyer;37;Rescue Ship/Lifeguard;2774;PITHEAS AGOR
5;Frigate;38;Special Operations;2775;POLYUS AGOR
6;Fast Patrol Boat;39;Shadowing;2776;QUEST AGOR
7;Amphibious;40;Intervening;2777;ROBERT D CONRAD AGOR
8;LHA/LHD;41;Nuclear, Biological, Chemical (NBC) Operations;2778;T-43 AGOR
9;Amphibious Assault Command Ship (LCC);42;Nuclear Operations;2779;TRITON AGOR
