Platnum;Platval;Actnum;Actval;Stypenum;Stypeval;Sampnum;Sampval
3;Weapon;115;Ballistic Missile Activity 1;1145;TITAN II LAUNCH VEHICLE LGM-25;3;Bulk Chemical Warhead
4;Transport;116;Ballistic Missile Activity 2;1146;US SPACE LAUNCH (USSL) HEAVY GENERAL;4;Bulk Biological Warhead
5;Patrol;117;Ballistic Missile Activity 3;1301;COMMERCIAL SPACE LAUNCH VEHICLE GENERAL;5;Fuel-Air Explosive Warhead
6;Support;118;Ballistic Missile Activity 4;2000;CSS-6;6;Debris
7;Debris (Orbital);119;Ballistic Missile Activity 5;2001;CSS-X;7;Warhead
8;Decoy;120;Ballistic Missile Activity 6;2002;HYPER SONIC VELOCITY MISSILE (HSV);8;Penetration Aid
9;Air Breathing Object (ABO);121;Ballistic Missile Activity 7;2003;NHK-A, FOLLOW-ON;9;High Explosive Submunition Warhead
13;Calibration Balloon;122;Ballistic Missile Activity 8;2004;NIKE HERCULES (NIC HERC);10;Chemical Submunition Warhead
14;Meteor;123;Ballistic Missile Activity 9;2005;NIKE BLACK BRANT MISSILE (NKEBB);11;Biological Submunition Warhead
15;Re-Entry Vehicle (RV);124;Ballistic Missile Activity 10;2006;PEGASUS XL MISSILE;12;Booster Tank
31;Space General;125;Ballistic Missile Activity 11;2007;SCUD B MOD 1;13;ACM
62;Ballistic Missile General;126;Ballistic Missile Activity 12;2008;SCUD B MOD 2;14;CAR
1;Satellite;1;Reconnaissance;2009;SH-11;15;Single Body Target
2;Base;2;Antispace Warfare;2010;SHAHAB 1;16;Decoy Balloon
3;Weapon;3;Television;2011;SHAHAB 2;17;Chaff
4;Transport;4;Logistics;2012;SHAVIT;18;Post Boost Vehicle (PBV)
5;Patrol;5;Antisurface Warfare;2013;SHAVIT (YSLX-1);19;Lightweight Replica (LREP) Decoy
6;Support;6;Electronic Warfare (EW);2014;SL-8J;1;Unitary High Explosive Warhead
7;Debris (Orbital);7;Surveillance;2015;SS-N-6 MOD 1A SSM;2;Nuclear Warhead
8;Decoy;8;Data Link;2016;SS-N-6 MOD 1B SSM;3;Bulk Chemical Warhead
9;Air Breathing Object (ABO);9;Electronic Warfare Support (ES);2017;SS-N-6 MOD 1C SSM;4;Bulk Biological Warhead
13;Calibration Balloon;10;Electronic Attack (EA);2018;SS-11 MOD 3;5;Fuel-Air Explosive Warhead
14;Meteor;11;Communications;2019;SS-14 (SCAMP/SCAPGOAT);6;Debris
15;Re-Entry Vehicle (RV);12;Return to Base (RTB);2020;SS-16 (SINNER);7;Warhead
31;Space General;13;Nuclear, Biological, Chemical (NBC) Operations;2021;SS-18 MOD VI;8;Penetration Aid
62;Ballistic Missile General;14;Nuclear Operations;2022;SS-22;9;High Explosive Submunition Warhead
1;Satellite;15;Biological Operations;2023;SS-24 MOD 1;10;Chemical Submunition Warhead
2;Base;16;Chemical Operations;2024;SS-25 (EXTENDED);11;Biological Submunition Warhead
3;Weapon;51;Space Activity 1;2025;SS-X-28 DEVELOPMENTAL;12;Booster Tank
4;Transport;52;Space Activity 2;2026;SS-3 (SHYSTER);13;ACM
5;Patrol;53;Space Activity 3;2027;SS-5 (SKEAN);14;CAR
6;Support;54;Space Activity 4;2028;SS-6 (SAPWOOD);15;Single Body Target
7;Debris (Orbital);55;Space Activity 5;2029;SS-7 (SADDLER);16;Decoy Balloon
8;Decoy;56;Space Activity 6;2030;SS-8 (SASIN);17;Chaff
9;Air Breathing Object (ABO);57;Space Activity 7;2031;SS-9 (SCARP);18;Post Boost Vehicle (PBV)
13;Calibration Balloon;58;Space Activity 8;2032;SS-NX-SLBM;19;Lightweight Replica (LREP) Decoy
14;Meteor;59;Space Activity 9;2033;SS-N-27 (ALPA/KLUB);1;Unitary High Explosive Warhead
15;Re-Entry Vehicle (RV);60;Space Activity 10;2034;SS-N-6 MOD 2;2;Nuclear Warhead
31;Space General;61;Space Activity 11;2035;STORM;3;Bulk Chemical Warhead
62;Ballistic Missile General;62;Space Activity 12;2036;STS;4;Bulk Biological Warhead
1;Satellite;115;Ballistic Missile Activity 1;2037;TAEPO DONG;5;Fuel-Air Explosive Warhead
2;Base;116;Ballistic Missile Activity 2;2038;TERRIER BLACK BRANT;6;Debris
3;Weapon;117;Ballistic Missile Activity 3;2039;TAURUS LITE;7;Warhead
4;Transport;118;Ballistic Missile Activity 4;2047;SPACE GENERAL;8;Penetration Aid
